'Elapsed time','ECG'
'seconds','mV'
0.000,0.069
0.005,0.094
0.010,0.082
0.015,0.083
0.020,0.079
0.025,0.056
0.030,0.037
0.035,0.025
0.040,0.039
0.045,0.076
0.050,0.077
0.055,0.032
0.060,0.007
0.065,0.002
0.070,0.000
0.075,0.007
0.080,-0.005
0.085,-0.022
0.090,-0.009
0.095,-0.005
0.100,-0.020
0.105,-0.038
0.110,-0.047
0.115,-0.041
0.120,-0.060
0.125,-0.081
0.130,-0.073
0.135,-0.065
0.140,-0.069
0.145,-0.083
0.150,-0.094
0.155,-0.103
0.160,-0.117
0.165,-0.107
0.170,-0.082
0.175,-0.083
0.180,-0.099
0.185,-0.094
0.190,-0.078
0.195,-0.054
0.200,-0.012
0.205,0.020
0.210,0.041
0.215,0.063
0.220,0.093
0.225,0.121
0.230,0.132
0.235,0.139
0.240,0.166
0.245,0.197
0.250,0.177
0.255,0.160
0.260,0.180
0.265,0.176
0.270,0.160
0.275,0.146
0.280,0.134
0.285,0.134
0.290,0.118
0.295,0.108
0.300,0.120
0.305,0.113
0.310,0.096
0.315,0.097
0.320,0.096
0.325,0.086
0.330,0.069
0.335,0.064
0.340,0.077
0.345,0.064
0.350,0.039
0.355,0.019
0.360,0.016
0.365,0.037
0.370,0.050
0.375,0.053
0.380,0.044
0.385,0.029
0.390,0.007
0.395,-0.029
0.400,-0.037
0.405,-0.003
0.410,0.028
0.415,0.040
0.420,0.038
0.425,0.011
0.430,-0.003
0.435,0.016
0.440,0.009
0.445,-0.008
0.450,-0.020
0.455,-0.024
0.460,-0.001
0.465,-0.004
0.470,-0.023
0.475,-0.021
0.480,-0.048
0.485,-0.079
0.490,-0.080
0.495,-0.084
0.500,-0.085
0.505,-0.087
0.510,-0.100
0.515,-0.093
0.520,-0.087
0.525,-0.114
0.530,-0.145
0.535,-0.138
0.540,-0.088
0.545,-0.042
0.550,-0.038
0.555,-0.054
0.560,-0.039
0.565,-0.004
0.570,0.020
0.575,0.045
0.580,0.056
0.585,0.044
0.590,0.035
0.595,0.037
0.600,0.046
0.605,0.042
0.610,0.029
0.615,0.033
0.620,0.038
0.625,0.036
0.630,0.046
0.635,0.027
0.640,-0.069
0.645,-0.234
0.650,-0.479
0.655,-0.772
0.660,-0.987
0.665,-1.022
0.670,-0.823
0.675,-0.427
0.680,-0.053
0.685,0.186
0.690,0.378
0.695,0.492
0.700,0.487
0.705,0.385
0.710,0.230
0.715,0.124
0.720,0.084
0.725,0.076
0.730,0.093
0.735,0.101
0.740,0.078
0.745,0.055
0.750,0.065
0.755,0.075
0.760,0.065
0.765,0.058
0.770,0.044
0.775,0.026
0.780,0.029
0.785,0.040
0.790,0.041
0.795,0.031
0.800,0.015
0.805,0.001
0.810,-0.010
0.815,-0.016
0.820,-0.012
0.825,-0.002
0.830,-0.001
0.835,-0.007
0.840,-0.019
0.845,-0.037
0.850,-0.046
0.855,-0.053
0.860,-0.060
0.865,-0.059
0.870,-0.054
0.875,-0.055
0.880,-0.055
0.885,-0.058
0.890,-0.073
0.895,-0.083
0.900,-0.082
0.905,-0.079
0.910,-0.078
0.915,-0.084
0.920,-0.089
0.925,-0.083
0.930,-0.071
0.935,-0.057
0.940,-0.040
0.945,-0.022
0.950,-0.002
0.955,0.020
0.960,0.051
0.965,0.094
0.970,0.124
0.975,0.138
0.980,0.148
0.985,0.160
0.990,0.172
0.995,0.174
1.000,0.170
1.005,0.169
1.010,0.164
1.015,0.146
1.020,0.136
1.025,0.137
1.030,0.135
1.035,0.124
1.040,0.114
1.045,0.118
1.050,0.120
1.055,0.109
1.060,0.091
1.065,0.077
1.070,0.071
1.075,0.068
1.080,0.071
1.085,0.072
1.090,0.063
1.095,0.050
1.100,0.041
1.105,0.043
1.110,0.042
1.115,0.035
1.120,0.032
1.125,0.024
1.130,0.022
1.135,0.030
1.140,0.030
1.145,0.030
1.150,0.032
1.155,0.028
1.160,0.022
1.165,0.014
1.170,0.013
1.175,0.014
1.180,0.010
1.185,0.011
1.190,0.012
1.195,0.008
1.200,0.001
1.205,-0.007
1.210,-0.008
1.215,-0.008
1.220,-0.017
1.225,-0.023
1.230,-0.032
1.235,-0.050
1.240,-0.070
1.245,-0.090
1.250,-0.094
1.255,-0.084
1.260,-0.081
1.265,-0.081
1.270,-0.083
1.275,-0.091
1.280,-0.099
1.285,-0.097
1.290,-0.081
1.295,-0.065
1.300,-0.060
1.305,-0.057
1.310,-0.046
1.315,-0.026
1.320,-0.004
1.325,0.018
1.330,0.041
1.335,0.054
1.340,0.052
1.345,0.049
1.350,0.049
1.355,0.042
1.360,0.030
1.365,0.024
1.370,0.023
1.375,0.025
1.380,0.037
1.385,0.053
1.390,0.033
1.395,-0.065
1.400,-0.256
1.405,-0.525
1.410,-0.807
1.415,-0.984
1.420,-0.942
1.425,-0.612
1.430,-0.154
1.435,0.154
1.440,0.302
1.445,0.373
1.450,0.361
1.455,0.280
1.460,0.154
1.465,0.061
1.470,0.059
1.475,0.071
1.480,0.064
1.485,0.075
1.490,0.080
1.495,0.069
1.500,0.073
1.505,0.082
1.510,0.075
1.515,0.065
1.520,0.060
1.525,0.053
1.530,0.043
1.535,0.035
1.540,0.031
1.545,0.024
1.550,0.018
1.555,0.013
1.560,0.006
1.565,-0.001
1.570,-0.007
1.575,-0.011
1.580,-0.016
1.585,-0.024
1.590,-0.028
1.595,-0.034
1.600,-0.040
1.605,-0.047
1.610,-0.057
1.615,-0.064
1.620,-0.070
1.625,-0.074
1.630,-0.076
1.635,-0.079
1.640,-0.084
1.645,-0.088
1.650,-0.092
1.655,-0.096
1.660,-0.099
1.665,-0.103
1.670,-0.103
1.675,-0.100
1.680,-0.092
1.685,-0.075
1.690,-0.052
1.695,-0.021
1.700,0.011
1.705,0.042
1.710,0.073
1.715,0.105
1.720,0.131
1.725,0.150
1.730,0.165
1.735,0.179
1.740,0.187
1.745,0.189
1.750,0.190
1.755,0.188
1.760,0.185
1.765,0.179
1.770,0.172
1.775,0.165
1.780,0.155
1.785,0.145
1.790,0.138
1.795,0.132
1.800,0.123
1.805,0.115
1.810,0.106
1.815,0.096
1.820,0.085
1.825,0.069
1.830,0.051
1.835,0.042
1.840,0.046
1.845,0.049
1.850,0.048
1.855,0.052
1.860,0.056
1.865,0.064
1.870,0.067
1.875,0.058
1.880,0.045
1.885,0.032
1.890,0.030
1.895,0.030
1.900,0.011
1.905,-0.010
1.910,0.000
1.915,0.026
1.920,0.032
1.925,0.025
1.930,0.034
1.935,0.049
1.940,0.045
1.945,0.032
1.950,0.029
1.955,0.031
1.960,0.023
1.965,0.009
1.970,0.000
1.975,-0.008
1.980,-0.028
1.985,-0.053
1.990,-0.070
1.995,-0.081
2.000,-0.090
2.005,-0.097
2.010,-0.098
2.015,-0.091
2.020,-0.088
2.025,-0.096
2.030,-0.105
2.035,-0.103
2.040,-0.090
2.045,-0.082
2.050,-0.078
2.055,-0.067
2.060,-0.055
2.065,-0.039
2.070,-0.016
2.075,0.010
2.080,0.039
2.085,0.053
2.090,0.051
2.095,0.046
2.100,0.043
2.105,0.040
2.110,0.033
2.115,0.031
2.120,0.031
2.125,0.027
2.130,0.031
2.135,0.042
2.140,0.042
2.145,-0.018
2.150,-0.174
2.155,-0.424
2.160,-0.723
2.165,-0.958
2.170,-1.020
2.175,-0.810
2.180,-0.363
2.185,0.057
2.190,0.282
2.195,0.368
2.200,0.350
2.205,0.271
2.210,0.168
2.215,0.064
2.220,0.043
2.225,0.067
2.230,0.064
2.235,0.072
2.240,0.087
2.245,0.085
2.250,0.076
2.255,0.072
2.260,0.068
2.265,0.063
2.270,0.058
2.275,0.053
2.280,0.046
2.285,0.041
2.290,0.035
2.295,0.023
2.300,0.012
2.305,0.011
2.310,0.012
2.315,0.009
2.320,0.001
2.325,-0.010
2.330,-0.024
2.335,-0.038
2.340,-0.043
2.345,-0.036
2.350,-0.032
2.355,-0.037
2.360,-0.045
2.365,-0.055
2.370,-0.067
2.375,-0.078
2.380,-0.084
2.385,-0.086
2.390,-0.089
2.395,-0.090
2.400,-0.091
2.405,-0.098
2.410,-0.102
2.415,-0.104
2.420,-0.105
2.425,-0.100
2.430,-0.095
2.435,-0.081
2.440,-0.058
2.445,-0.037
2.450,-0.008
2.455,0.030
2.460,0.063
2.465,0.090
2.470,0.114
2.475,0.136
2.480,0.163
2.485,0.187
2.490,0.181
2.495,0.163
2.500,0.170
2.505,0.200
2.510,0.221
2.515,0.212
2.520,0.186
2.525,0.163
2.530,0.151
2.535,0.139
2.540,0.134
2.545,0.141
2.550,0.137
2.555,0.127
2.560,0.121
2.565,0.116
2.570,0.118
2.575,0.108
2.580,0.087
2.585,0.080
2.590,0.078
2.595,0.077
2.600,0.082
2.605,0.079
2.610,0.065
2.615,0.051
2.620,0.037
2.625,0.038
2.630,0.049
2.635,0.039
2.640,0.032
2.645,0.039
2.650,0.036
2.655,0.036
2.660,0.036
2.665,0.032
2.670,0.023
2.675,0.017
2.680,0.020
2.685,0.020
2.690,0.016
2.695,0.013
2.700,0.016
2.705,0.020
2.710,0.008
2.715,-0.003
2.720,-0.005
2.725,-0.022
2.730,-0.057
2.735,-0.086
2.740,-0.088
2.745,-0.077
2.750,-0.078
2.755,-0.084
2.760,-0.082
2.765,-0.079
2.770,-0.082
2.775,-0.096
2.780,-0.106
2.785,-0.099
2.790,-0.085
2.795,-0.076
2.800,-0.070
2.805,-0.068
2.810,-0.058
2.815,-0.029
2.820,0.003
2.825,0.026
2.830,0.043
2.835,0.051
2.840,0.049
2.845,0.042
2.850,0.037
2.855,0.034
2.860,0.031
2.865,0.026
2.870,0.020
2.875,0.026
2.880,0.046
2.885,0.052
2.890,-0.002
2.895,-0.136
2.900,-0.344
2.905,-0.615
2.910,-0.860
2.915,-0.963
2.920,-0.844
2.925,-0.452
2.930,0.001
2.935,0.249
2.940,0.352
2.945,0.375
2.950,0.322
2.955,0.228
2.960,0.104
2.965,0.040
2.970,0.055
2.975,0.052
2.980,0.043
2.985,0.063
2.990,0.072
2.995,0.058
3.000,0.052
3.005,0.058
3.010,0.049
3.015,0.037
3.020,0.038
3.025,0.034
3.030,0.024
3.035,0.017
3.040,0.010
3.045,0.002
3.050,-0.003
3.055,-0.006
3.060,-0.009
3.065,-0.015
3.070,-0.021
3.075,-0.032
3.080,-0.040
3.085,-0.042
3.090,-0.048
3.095,-0.052
3.100,-0.057
3.105,-0.064
3.110,-0.069
3.115,-0.074
3.120,-0.075
3.125,-0.078
3.130,-0.086
3.135,-0.093
3.140,-0.098
3.145,-0.099
3.150,-0.099
3.155,-0.105
3.160,-0.110
3.165,-0.110
3.170,-0.111
3.175,-0.107
3.180,-0.094
3.185,-0.077
3.190,-0.051
3.195,-0.021
3.200,0.010
3.205,0.045
3.210,0.079
3.215,0.107
3.220,0.132
3.225,0.153
3.230,0.169
3.235,0.180
3.240,0.184
3.245,0.185
3.250,0.185
3.255,0.182
3.260,0.177
3.265,0.173
3.270,0.164
3.275,0.157
3.280,0.152
3.285,0.144
3.290,0.134
3.295,0.122
3.300,0.112
3.305,0.104
3.310,0.100
3.315,0.098
3.320,0.095
3.325,0.089
3.330,0.081
3.335,0.072
3.340,0.066
3.345,0.064
3.350,0.059
3.355,0.051
3.360,0.045
3.365,0.043
3.370,0.044
3.375,0.039
3.380,0.033
3.385,0.035
3.390,0.036
3.395,0.030
3.400,0.027
3.405,0.027
3.410,0.023
3.415,0.018
3.420,0.014
3.425,0.011
3.430,0.007
3.435,-0.002
3.440,-0.005
3.445,-0.002
3.450,-0.006
3.455,-0.011
3.460,-0.018
3.465,-0.028
3.470,-0.040
3.475,-0.053
3.480,-0.065
3.485,-0.078
3.490,-0.095
3.495,-0.104
3.500,-0.096
3.505,-0.087
3.510,-0.083
3.515,-0.087
3.520,-0.096
3.525,-0.095
3.530,-0.085
3.535,-0.075
3.540,-0.067
3.545,-0.049
3.550,-0.032
3.555,-0.022
3.560,-0.011
3.565,0.009
3.570,0.043
3.575,0.068
3.580,0.073
3.585,0.070
3.590,0.063
3.595,0.051
3.600,0.043
3.605,0.044
3.610,0.046
3.615,0.042
3.620,0.037
3.625,0.038
3.630,0.032
3.635,-0.027
3.640,-0.166
3.645,-0.386
3.650,-0.649
3.655,-0.857
3.660,-0.926
3.665,-0.762
3.670,-0.351
3.675,0.054
3.680,0.260
3.685,0.355
3.690,0.365
3.695,0.294
3.700,0.187
3.705,0.065
3.710,0.032
3.715,0.071
3.720,0.074
3.725,0.074
3.730,0.090
3.735,0.083
3.740,0.069
3.745,0.073
3.750,0.076
3.755,0.070
3.760,0.068
3.765,0.063
3.770,0.046
3.775,0.033
3.780,0.024
3.785,0.012
3.790,0.008
3.795,0.012
3.800,0.006
3.805,-0.003
3.810,-0.006
3.815,-0.011
3.820,-0.016
3.825,-0.019
3.830,-0.026
3.835,-0.032
3.840,-0.041
3.845,-0.052
3.850,-0.058
3.855,-0.059
3.860,-0.055
3.865,-0.058
3.870,-0.072
3.875,-0.082
3.880,-0.083
3.885,-0.086
3.890,-0.088
3.895,-0.085
3.900,-0.079
3.905,-0.082
3.910,-0.097
3.915,-0.104
