time,ECG,ECGFiltered,Group
0.002,-0.435,-0.07,Recording1
0.004,-0.475,-0.055,Recording1
0.006,-0.455,-0.04,Recording1
0.008,-0.47,-0.035,Recording1
0.01,-0.435,-0.03,Recording1
0.012,-0.52,-0.03,Recording1
0.013999999999999999,-0.485,-0.03,Recording1
0.016,-0.39,-0.03,Recording1
0.018000000000000002,-0.52,-0.025,Recording1
0.02,-0.41,-0.025,Recording1
0.022000000000000002,-0.38,-0.02,Recording1
0.024,-0.45,-0.02,Recording1
0.026000000000000002,-0.52,-0.02,Recording1
0.027999999999999997,-0.47,-0.02,Recording1
0.03,-0.44,-0.025,Recording1
0.032,-0.425,-0.035,Recording1
0.034,-0.485,-0.04,Recording1
0.036000000000000004,-0.48,-0.045,Recording1
0.038,-0.45,-0.045,Recording1
0.04,-0.42,-0.04,Recording1
0.042,-0.42,-0.035,Recording1
0.044000000000000004,-0.435,-0.03,Recording1
0.046,-0.475,-0.02,Recording1
0.048,-0.48,-0.015,Recording1
0.05,-0.44,-0.015,Recording1
0.052000000000000005,-0.45,-0.015,Recording1
0.054000000000000006,-0.425,-0.02,Recording1
0.055999999999999994,-0.48,-0.03,Recording1
0.057999999999999996,-0.465,-0.035,Recording1
0.06,-0.48,-0.035,Recording1
0.062,-0.405,-0.03,Recording1
0.064,-0.465,-0.02,Recording1
0.066,-0.44,-0.005,Recording1
0.068,-0.46,0.01,Recording1
0.07,-0.385,0.025,Recording1
0.07200000000000001,-0.385,0.03,Recording1
0.07400000000000001,-0.41,0.035,Recording1
0.076,-0.45,0.03,Recording1
0.078,-0.455,0.015,Recording1
0.08,-0.455,0.0,Recording1
0.08199999999999999,-0.465,-0.02,Recording1
0.084,-0.43,-0.03,Recording1
0.086,-0.395,-0.04,Recording1
0.08800000000000001,-0.445,-0.04,Recording1
0.09,-0.545,-0.035,Recording1
0.092,-0.505,-0.03,Recording1
0.094,-0.4,-0.015,Recording1
0.096,-0.37,-0.01,Recording1
0.098,-0.445,-0.005,Recording1
0.1,-0.42,-0.005,Recording1
0.102,-0.415,-0.01,Recording1
0.10400000000000001,-0.5,-0.02,Recording1
0.106,-0.525,-0.03,Recording1
0.10800000000000001,-0.485,-0.035,Recording1
0.11,-0.475,-0.04,Recording1
0.11199999999999999,-0.44,-0.04,Recording1
0.114,-0.44,-0.04,Recording1
0.11599999999999999,-0.445,-0.035,Recording1
0.11800000000000001,-0.47,-0.025,Recording1
0.12,-0.515,-0.02,Recording1
0.122,-0.47,-0.02,Recording1
0.124,-0.47,-0.02,Recording1
0.126,-0.43,-0.025,Recording1
0.128,-0.44,-0.03,Recording1
0.13,-0.47,-0.035,Recording1
0.132,-0.47,-0.04,Recording1
0.134,-0.46,-0.045,Recording1
0.136,-0.515,-0.04,Recording1
0.138,-0.48,-0.04,Recording1
0.14,-0.42,-0.03,Recording1
0.142,-0.42,-0.02,Recording1
0.14400000000000002,-0.45,-0.015,Recording1
0.146,-0.45,-0.01,Recording1
0.14800000000000002,-0.425,-0.005,Recording1
0.15,-0.43,-0.01,Recording1
0.152,-0.465,-0.015,Recording1
0.154,-0.445,-0.02,Recording1
0.156,-0.425,-0.03,Recording1
0.158,-0.42,-0.035,Recording1
0.16,-0.49,-0.04,Recording1
0.162,-0.515,-0.045,Recording1
0.16399999999999998,-0.56,-0.045,Recording1
0.166,-0.475,-0.045,Recording1
0.168,-0.44,-0.045,Recording1
0.17,-0.495,-0.04,Recording1
0.172,-0.39,-0.04,Recording1
0.174,-0.415,-0.04,Recording1
0.17600000000000002,-0.435,-0.04,Recording1
0.17800000000000002,-0.54,-0.045,Recording1
0.18,-0.52,-0.045,Recording1
0.182,-0.49,-0.05,Recording1
0.184,-0.505,-0.05,Recording1
0.18600000000000003,-0.49,-0.05,Recording1
0.188,-0.465,-0.05,Recording1
0.19,-0.405,-0.05,Recording1
0.192,-0.42,-0.05,Recording1
0.19399999999999998,-0.495,-0.05,Recording1
0.196,-0.455,-0.05,Recording1
0.198,-0.525,-0.045,Recording1
0.2,-0.51,-0.045,Recording1
0.20199999999999999,-0.48,-0.04,Recording1
0.204,-0.425,-0.035,Recording1
0.20600000000000002,-0.425,-0.03,Recording1
0.20800000000000002,-0.455,-0.025,Recording1
0.21,-0.425,-0.025,Recording1
0.212,-0.415,-0.025,Recording1
0.214,-0.435,-0.025,Recording1
0.21600000000000003,-0.475,-0.025,Recording1
0.218,-0.485,-0.03,Recording1
0.22,-0.465,-0.03,Recording1
0.222,-0.47,-0.03,Recording1
0.22399999999999998,-0.455,-0.025,Recording1
0.226,-0.49,-0.02,Recording1
0.228,-0.43,-0.015,Recording1
0.23,-0.37,-0.005,Recording1
0.23199999999999998,-0.405,0.005,Recording1
0.23399999999999999,-0.395,0.01,Recording1
0.23600000000000002,-0.365,0.02,Recording1
0.23800000000000002,-0.37,0.02,Recording1
0.24,-0.395,0.02,Recording1
0.242,-0.455,0.02,Recording1
0.244,-0.445,0.015,Recording1
0.24600000000000002,-0.435,0.01,Recording1
0.248,-0.385,0.005,Recording1
0.25,-0.39,0.0,Recording1
0.252,-0.41,-0.005,Recording1
0.254,-0.405,-0.01,Recording1
0.256,-0.45,-0.015,Recording1
0.258,-0.465,-0.02,Recording1
0.26,-0.425,-0.02,Recording1
0.262,-0.47,-0.025,Recording1
0.264,-0.455,-0.025,Recording1
0.266,-0.45,-0.025,Recording1
0.268,-0.425,-0.025,Recording1
0.27,-0.445,-0.025,Recording1
0.272,-0.45,-0.03,Recording1
0.27399999999999997,-0.46,-0.03,Recording1
0.276,-0.445,-0.03,Recording1
0.278,-0.45,-0.035,Recording1
0.28,-0.475,-0.04,Recording1
0.282,-0.49,-0.045,Recording1
0.284,-0.49,-0.05,Recording1
0.28600000000000003,-0.54,-0.055,Recording1
0.28800000000000003,-0.44,-0.06,Recording1
0.29,-0.415,-0.06,Recording1
0.292,-0.465,-0.055,Recording1
0.294,-0.5,-0.05,Recording1
0.29600000000000004,-0.455,-0.05,Recording1
0.298,-0.505,-0.045,Recording1
0.3,-0.445,-0.045,Recording1
0.302,-0.425,-0.05,Recording1
0.304,-0.54,-0.055,Recording1
0.306,-0.465,-0.06,Recording1
0.308,-0.465,-0.065,Recording1
0.31,-0.485,-0.07,Recording1
0.312,-0.515,-0.075,Recording1
0.314,-0.53,-0.08,Recording1
0.316,-0.535,-0.075,Recording1
0.318,-0.545,-0.075,Recording1
0.32,-0.41,-0.07,Recording1
0.322,-0.505,-0.065,Recording1
0.324,-0.515,-0.065,Recording1
0.326,-0.47,-0.07,Recording1
0.32799999999999996,-0.485,-0.075,Recording1
0.33,-0.465,-0.08,Recording1
0.332,-0.52,-0.085,Recording1
0.33399999999999996,-0.55,-0.095,Recording1
0.336,-0.535,-0.1,Recording1
0.33799999999999997,-0.535,-0.1,Recording1
0.34,-0.44,-0.095,Recording1
0.342,-0.505,-0.09,Recording1
0.344,-0.485,-0.085,Recording1
0.34600000000000003,-0.495,-0.08,Recording1
0.348,-0.52,-0.08,Recording1
0.35,-0.53,-0.085,Recording1
0.35200000000000004,-0.55,-0.1,Recording1
0.354,-0.485,-0.12,Recording1
0.35600000000000004,-0.565,-0.14,Recording1
0.358,-0.605,-0.155,Recording1
0.36,-0.625,-0.16,Recording1
0.36200000000000004,-0.615,-0.145,Recording1
0.364,-0.495,-0.1,Recording1
0.366,-0.455,-0.035,Recording1
0.368,-0.325,0.065,Recording1
0.37,-0.235,0.19,Recording1
0.37200000000000005,-0.03,0.33,Recording1
0.374,0.09,0.475,Recording1
0.376,0.24,0.615,Recording1
0.37799999999999995,0.345,0.73,Recording1
0.38,0.43,0.81,Recording1
0.382,0.435,0.845,Recording1
0.384,0.415,0.84,Recording1
0.386,0.405,0.79,Recording1
0.38799999999999996,0.265,0.705,Recording1
0.39,0.175,0.595,Recording1
0.392,0.115,0.475,Recording1
0.39399999999999996,-0.065,0.36,Recording1
0.396,-0.255,0.255,Recording1
0.39799999999999996,-0.38,0.17,Recording1
0.4,-0.335,0.105,Recording1
0.402,-0.33,0.065,Recording1
0.40399999999999997,-0.375,0.045,Recording1
0.406,-0.345,0.035,Recording1
0.408,-0.36,0.035,Recording1
0.41,-0.405,0.03,Recording1
0.41200000000000003,-0.4,0.025,Recording1
0.414,-0.46,0.015,Recording1
0.41600000000000004,-0.46,0.0,Recording1
0.418,-0.47,-0.02,Recording1
0.42,-0.435,-0.03,Recording1
0.42200000000000004,-0.45,-0.045,Recording1
0.424,-0.465,-0.045,Recording1
0.426,-0.43,-0.045,Recording1
0.428,-0.455,-0.04,Recording1
0.43,-0.445,-0.03,Recording1
0.43200000000000005,-0.46,-0.02,Recording1
0.434,-0.455,-0.015,Recording1
